Pregunta,Periodo,Inicio,Fin,Error,Error relativo
A2,2022,Enero,Diciembre,545.1239377128204,0.7450027148741881
A2,2023,Enero,Diciembre,470.76270231722845,0.9768326073082508
A2,2024,Enero,Diciembre,350.39417832764053,0.45551243182593226
A2,2025,Enero,Diciembre,396.06643624265257,0.4950830453033157
A3,2022-2023,Diciembre 2022,Diciembre 2023,0.6700000000000728,67.00000000000728
A4,2025,Enero,Diciembre,4.600000000000023,5.750000000000028
A4,2024,Enero,Diciembre,4.309999999999945,6.157142857142779
A4,2022,Enero,Diciembre,6.389999999999986,10.649999999999977
A4,2023,Enero,Diciembre,8.329999999999927,20.824999999999818
A5,Global,Minimo,Maximo,0.29350000000000026,1.174000000000001
